"Company","Industry","State","Metro","URL"
"Latshaw Drilling & Exploration Co.","Energy","Oklahoma","Tulsa","http://www.inc.com/profile/latshaw-drilling-exploration-co"
"Solar Liberty Energy Systems","Energy","New York","Buffalo-Niagara Falls","http://www.inc.com/profile/solar-liberty-energy-systems"
"Triplefin","Business Products & Services","Ohio","Cincinnati","http://www.inc.com/profile/triplefin"
"Simplicity Group","IT Services","Utah","Provo-Orem","http://www.inc.com/profile/simplicity-group"
"Solid Source Realty","Real Estate","Georgia","Atlanta","http://www.inc.com/profile/solid-source-realty"
"The Coding Source","Health","California","Los Angeles","http://www.inc.com/profile/the-coding-source"
"National Retirement Partners","Financial Services","California","Los Angeles","http://www.inc.com/profile/national-retirement-partners"
"American Bancard","Financial Services","Florida","Miami","http://www.inc.com/profile/american-bancard"
"2Pi Solutions","Government Services","District of Columbia","Washington","http://www.inc.com/profile/2pi-solutions"
"Dogswell","Consumer Products & Services","California","Los Angeles","http://www.inc.com/profile/dogswell"
"Royal Buying Group","Advertising & Marketing","Illinois","Chicago","http://www.inc.com/profile/royal-buying-group"
"Volusion","Software","Texas","Austin","http://www.inc.com/profile/volusion"
"DVS Group","Business Products & Services","Florida","Tallahassee","http://www.inc.com/profile/dvs-group"
"Labor Law Center","Business Products & Services","California","Los Angeles","http://www.inc.com/profile/labor-law-center"
"Modern Concrete","Construction","Nevada","Elko","http://www.inc.com/profile/modern-concrete"
"Sales Partnerships","Business Products & Services","Colorado","Denver","http://www.inc.com/profile/sales-partnerships"
